  0.00000000E+00 -0.18698755E+00
  0.10444840E-01 -0.18675276E+00
  0.20889680E-01 -0.18604859E+00
  0.31334520E-01 -0.18487556E+00
  0.41779360E-01 -0.18323459E+00
  0.52224200E-01 -0.18112693E+00
  0.62669040E-01 -0.17855422E+00
  0.73113880E-01 -0.17551847E+00
  0.83558720E-01 -0.17202209E+00
  0.94003560E-01 -0.16806786E+00
  0.10444840E+00 -0.16365899E+00
  0.11489324E+00 -0.15879910E+00
  0.12533808E+00 -0.15349224E+00
  0.13578292E+00 -0.14774293E+00
  0.14622776E+00 -0.14155612E+00
  0.15667260E+00 -0.13493728E+00
  0.16711744E+00 -0.12789238E+00
  0.17756228E+00 -0.12042792E+00
  0.18800712E+00 -0.11255095E+00
  0.19845196E+00 -0.10426912E+00
  0.20889680E+00 -0.95590719E-01
  0.21934164E+00 -0.86524680E-01
  0.22978648E+00 -0.77080658E-01
  0.24023132E+00 -0.67269068E-01
  0.25067616E+00 -0.57101148E-01
  0.26112100E+00 -0.46589027E-01
  0.27156584E+00 -0.35745799E-01
  0.28201068E+00 -0.24585621E-01
  0.29245552E+00 -0.13123808E-01
  0.30290036E+00 -0.13769592E-02
  0.31334520E+00  0.10636913E-01
  0.32379004E+00  0.22898220E-01
  0.33423488E+00  0.35385620E-01
  0.34467972E+00  0.48075806E-01
  0.35512456E+00  0.60943273E-01
  0.36556940E+00  0.73960033E-01
  0.37601424E+00  0.87095306E-01
  0.38645908E+00  0.10031515E+00
  0.39690392E+00  0.11358203E+00
  0.40734876E+00  0.12685434E+00
  0.41779360E+00  0.14008586E+00
  0.42823844E+00  0.15322507E+00
  0.43868328E+00  0.16621447E+00
  0.44912812E+00  0.17898973E+00
  0.45957296E+00  0.19147879E+00
  0.47001780E+00  0.20360083E+00
  0.48046264E+00  0.21526519E+00
  0.49090748E+00  0.22637030E+00
  0.50135232E+00  0.23680259E+00
  0.51179716E+00  0.24643561E+00
  0.52224200E+00  0.25512948E+00
  0.53268684E+00  0.26273097E+00
  0.54313168E+00  0.26907457E+00
  0.55357652E+00  0.27398498E+00
  0.56402136E+00  0.27728151E+00
  0.57446620E+00  0.27878496E+00
  0.58491104E+00  0.27832696E+00
  0.59535588E+00  0.27576162E+00
  0.60580072E+00  0.27097848E+00
  0.61624556E+00  0.26391475E+00
  0.62669040E+00  0.25456469E+00
  0.63713524E+00  0.24298387E+00
  0.64758008E+00  0.22928694E+00
  0.65802492E+00  0.21363942E+00
  0.66846976E+00  0.19624506E+00
  0.67891460E+00  0.17733140E+00
  0.68935944E+00  0.15713593E+00
  0.69980428E+00  0.13589460E+00
  0.71024912E+00  0.11383342E+00
  0.72069396E+00  0.91163116E-01
  0.73113880E+00  0.68076342E-01
  0.74158364E+00  0.44746877E-01
  0.75202848E+00  0.21330024E-01
  0.76247332E+00 -0.20362009E-02
  0.77291816E+00 -0.25229509E-01
  0.78336300E+00 -0.48141658E-01
  0.79380784E+00 -0.70676798E-01
  0.80425268E+00 -0.92749938E-01
  0.81469752E+00 -0.11428556E+00
