 &plot nbnd=  32, nks=   151 /
    4.861    5.095    5.330    6.297    7.020    7.482    7.837    8.671    9.384    9.711
    9.915   10.400
            0.000000  0.200953  0.000000
  -87.749  -53.870  -53.867  -53.852  -18.729  -17.671   -7.596   -6.938   -6.282   -5.587
   -4.853   -4.568   -2.064   -1.798   -1.405   -0.453   -0.151    3.306    3.602    4.092
    4.909    5.156    5.399    6.304    7.058    7.521    7.915    8.617    9.332    9.705
    9.936   10.333
            0.000000  0.212774  0.000000
  -87.749  -53.871  -53.867  -53.852  -18.702  -17.664   -7.576   -6.990   -6.277   -5.685
   -4.894   -4.563   -2.067   -1.773   -1.395   -0.472   -0.160    3.372    3.652    4.158
    4.945    5.218    5.469    6.324    7.095    7.564    7.993    8.573    9.257    9.727
    9.958   10.263
            0.000000  0.224595  0.000000
  -87.749  -53.871  -53.868  -53.852  -18.674  -17.657   -7.556   -7.042   -6.271   -5.780
   -4.936   -4.563   -2.070   -1.749   -1.387   -0.488   -0.168    3.440    3.704    4.226
    4.968    5.279    5.539    6.358    7.131    7.612    8.068    8.540    9.174    9.763
    9.981   10.193
            0.000000  0.236416  0.000000
  -87.749  -53.872  -53.868  -53.851  -18.645  -17.650   -7.538   -7.093   -6.266   -5.872
   -4.978   -4.566   -2.074   -1.726   -1.380   -0.499   -0.175    3.509    3.758    4.297
    4.980    5.339    5.609    6.407    7.164    7.666    8.140    8.520    9.091    9.802
   10.007   10.129
            0.000000  0.248237  0.000000
  -87.749  -53.872  -53.868  -53.851  -18.615  -17.644   -7.522   -7.145   -6.260   -5.960
   -5.019   -4.573   -2.079   -1.705   -1.373   -0.506   -0.181    3.578    3.814    4.370
    4.982    5.398    5.677    6.467    7.195    7.723    8.206    8.513    9.011    9.830
   10.038   10.083
            0.000000  0.260057  0.000000
  -87.748  -53.873  -53.868  -53.851  -18.585  -17.637   -7.510   -7.195   -6.254   -6.042
   -5.061   -4.584   -2.084   -1.685   -1.368   -0.508   -0.185    3.645    3.873    4.446
    4.977    5.457    5.740    6.534    7.224    7.784    8.267    8.521    8.936    9.828
   10.074   10.074
            0.000000  0.271878  0.000000
  -87.748  -53.873  -53.868  -53.851  -18.553  -17.630   -7.503   -7.244   -6.248   -6.117
   -5.102   -4.600   -2.090   -1.667   -1.364   -0.506   -0.188    3.711    3.934    4.524
    4.968    5.516    5.798    6.606    7.257    7.847    8.319    8.545    8.869    9.792
   10.106   10.118
            0.000000  0.283699  0.000000
  -87.748  -53.874  -53.868  -53.851  -18.520  -17.624   -7.504   -7.288   -6.241   -6.185
   -5.143   -4.619   -2.096   -1.651   -1.362   -0.500   -0.190    3.773    3.999    4.602
    4.957    5.575    5.848    6.679    7.294    7.909    8.363    8.581    8.812    9.741
   10.162   10.171
            0.000000  0.295520  0.000000
  -87.748  -53.874  -53.868  -53.851  -18.487  -17.617   -7.517   -7.325   -6.244   -6.235
   -5.183   -4.641   -2.103   -1.636   -1.360   -0.490   -0.190    3.829    4.068    4.681
    4.951    5.632    5.891    6.750    7.338    7.969    8.397    8.622    8.773    9.687
   10.229   10.234
            0.000000  0.307341  0.000000
  -87.748  -53.874  -53.868  -53.851  -18.454  -17.611   -7.545   -7.354   -6.293   -6.228
   -5.222   -4.667   -2.109   -1.623   -1.360   -0.476   -0.189    3.877    4.142    4.757
    4.952    5.685    5.927    6.820    7.389    8.029    8.422    8.632    8.785    9.639
   10.304   10.307
            0.000000  0.319161  0.000000
  -87.748  -53.875  -53.869  -53.851  -18.420  -17.605   -7.586   -7.374   -6.332   -6.221
   -5.261   -4.697   -2.116   -1.612   -1.361   -0.459   -0.187    3.916    4.220    4.824
    4.971    5.730    5.961    6.888    7.445    8.089    8.437    8.601    8.855    9.598
   10.382   10.391
            0.000000  0.330982  0.000000
  -87.748  -53.875  -53.869  -53.851  -18.385  -17.600   -7.638   -7.389   -6.361   -6.214
   -5.300   -4.729   -2.123   -1.602   -1.363   -0.438   -0.184    3.944    4.304    4.873
    5.017    5.761    5.999    6.956    7.505    8.151    8.443    8.557    8.950    9.568
   10.463   10.484
            0.000000  0.342803  0.000000
  -87.748  -53.876  -53.869  -53.851  -18.350  -17.595   -7.696   -7.404   -6.379   -6.206
   -5.337   -4.764   -2.130   -1.594   -1.365   -0.415   -0.179    3.964    4.391    4.907
    5.086    5.776    6.047    7.023    7.566    8.218    8.442    8.509    9.058    9.549
   10.546   10.587
            0.000000  0.354624  0.000000
  -87.748  -53.876  -53.869  -53.851  -18.316  -17.590   -7.757   -7.420   -6.387   -6.199
   -5.373   -4.801   -2.137   -1.587   -1.369   -0.390   -0.174    3.974    4.482    4.938
